id,first_name,last_name,gender,part_time_job,absence_days,extracurricular_activities,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,class,average_score,academic_performance,over_absence_days,final_academic_performance,major_group
1,Paul,Casey,male,FALSE,3,FALSE,Lawyer,73,81,93,97,63,80,87,A,83.7,good,No,good,law
2,Danielle,Sandoval,female,FALSE,2,FALSE,Doctor,90,86,96,100,90,88,90,A,92.6,excellent,No,excellent,healthcare
3,Tina,Andrews,female,FALSE,9,TRUE,Government Officer,81,97,95,96,65,77,94,C,87.3,excellent,Yes,good,politology
4,Tara,Clark,female,FALSE,5,FALSE,Artist,71,74,88,80,89,63,86,A1,77.3,good,Yes,average,art
5,Anthony,Campos,male,FALSE,5,FALSE,Unknown,84,77,65,65,80,74,76,A1,74.4,good,Yes,average,unknown
6,Kelly,Wade,female,FALSE,2,FALSE,Unknown,93,100,67,78,72,80,84,B,81.7,excellent,No,excellent,unknown
7,Anthony,Smith,male,FALSE,3,TRUE,Software Engineer,99,96,97,73,88,76,64,A,86.2,good,No,good,computer science
8,George,Short,male,TRUE,2,TRUE,Software Engineer,95,95,82,63,84,70,85,B,81.6,good,No,good,computer science
9,Stanley,Gutierrez,male,FALSE,6,FALSE,Unknown,94,68,94,85,81,74,72,A1,83,excellent,Yes,good,unknown
10,Audrey,Simpson,female,FALSE,3,TRUE,Teacher,98,69,88,71,67,71,73,B,77.3,good,No,good,teaching
11,Gabrielle,White,female,FALSE,2,FALSE,Teacher,65,60,97,94,71,81,66,B,76.4,good,No,good,teaching
12,Clinton,Randolph,male,FALSE,1,FALSE,Unknown,80,61,100,65,87,64,61,A1,76.2,good,No,good,unknown
13,Patricia,Gomez,female,TRUE,7,FALSE,Business Owner,94,59,69,67,89,65,73,A1,74.4,good,Yes,average,economics
14,Pamela,Jackson,female,FALSE,10,FALSE,Business Owner,66,94,86,100,57,90,63,B,77.9,good,Yes,average,economics
15,Laura,Jackson,female,FALSE,3,FALSE,Doctor,96,90,86,92,92,95,87,C,91,excellent,No,excellent,healthcare
16,Roger,Wiley,male,FALSE,6,FALSE,Business Owner,94,50,78,64,79,74,84,B,76,good,Yes,average,economics
17,Vicki,Thompson,female,FALSE,3,TRUE,Scientist,92,64,93,91,80,89,72,C,80.6,good,No,good,science researching
18,Maxwell,Davidson,male,FALSE,2,TRUE,Software Engineer,86,83,85,79,93,76,77,C,81.5,excellent,No,excellent,computer science
